OT,Plan de facturacion,Estrato,promedio_36m,desv_36m,max_36m,min_36m,promedio_6m_1m,desv_6m_1m,max_6m_1m,min_6m_1m,promedio_12m_6m,desv_12m_6m,max_12m_6m,min_12m_6m,promedio_24m_12m,desv_24m_12m,max_24m_12m,min_24m_12m,promedio_36m_24m,desv_36m_24m,max_36m_24m,min_36m_24m,Caida_Inicio,Caida_Fin,LongitudCaida,CantidadCaidas,Prom_AntesCaida,Desv_AntesCaida,Max_AntesCaida,Min_AntesCaida,Prom_DespuesCaida,Desv_DespuesCaida,Max_DespuesCaida,Min_DespuesCaida,ConsumosCero,ConsumosDecimal,Resultado
5471306,Plan 204,Estrato 2,5.222222222222222,1.4164565670535776,9.0,3.0,4.166666666666667,0.752772652709081,5.0,3.0,5.285714285714286,1.889822365046136,8.0,4.0,4.6923076923076925,0.8548504142651104,7.0,4.0,6.230769230769231,1.2351684199496948,9.0,4.0,MES -9,MES -1,9,2,5.535714285714286,1.4010746604237878,9.0,4.0,4.0,0.0,4.0,4.0,0,0,Fraude
4567538,Plan 204,Estrato 3,16.537499999999998,5.397921491516103,25.0,0.0,13.666666666666666,3.983298465677241,19.0,7.0,13.754285714285714,4.482108347429281,21.0,7.0,15.0,6.047711688454292,23.0,0.0,20.543846153846154,2.103051506983517,25.0,17.0,MES -17,MES -15,3,2,19.52,3.0174475968937724,25.0,11.0,12.996666666666666,5.3479412445870755,21.0,0.0,1,6,Fraude
5359022,Plan 204,Estrato 2,11.38888888888889,9.131664776331947,40.0,0.0,1.0,1.6733200530681511,4.0,0.0,11.142857142857142,3.4364987719368982,14.0,4.0,10.923076923076923,1.9348358440936906,14.0,8.0,16.0,12.675435561221029,40.0,6.0,MES -33,MES -1,33,1,30.0,13.92838827718412,40.0,6.0,2.0,0.0,2.0,2.0,4,0,Fraude
4809476,Plan 123,Estrato -1,0.19444444444444445,0.4671765921511567,2.0,0.0,0.16666666666666666,0.408248290463863,1.0,0.0,0.14285714285714285,0.37796447300922725,1.0,0.0,0.15384615384615385,0.5547001962252291,2.0,0.0,0.23076923076923078,0.4385290096535146,1.0,0.0,MES -7,MES -3,5,4,0.2,0.4760952285695233,2.0,0.0,0.3333333333333333,0.4714045207910317,1.0,0.0,30,0,Fraude
4656089,Plan 204,Estrato 3,17.63888888888889,4.092870301095222,26.0,9.0,22.166666666666668,2.401388487243717,26.0,19.0,20.571428571428573,2.878491668515698,24.0,17.0,17.692307692307693,2.4961508830135317,23.0,14.0,14.076923076923077,2.841992800294025,20.0,9.0,MES -34,MES -30,5,1,14.333333333333334,4.4969125210773475,20.0,9.0,18.533333333333335,3.4998412662417837,26.0,13.0,0,0,Fraude
5334601,Plan 7,Estrato 3,5.3436111111111115,3.1010764516100147,10.89,0.0,6.29,0.006324555320336624,6.3,6.28,6.28,0.04358898943540662,6.34,6.21,6.126153846153846,1.9692872588051515,8.48,0.0,4.0,4.64182076345048,10.89,0.0,MES -32,MES -29,4,1,1.522,3.044,7.61,0.0,6.3710344827586205,2.113255936696583,10.89,0.0,8,28,Normal
5592085,Plan 265,Estrato 3,43.320750000000004,19.434901876153486,66.006,0.0,15.945,24.99632765027695,65.997,0.0,48.28628571428571,23.25752341870107,66.006,0.0,56.079,5.23662868647377,66.006,48.006,43.757307692307684,6.358922450444669,56.007,35.001,MES -5,MES -1,5,1,48.12975,14.214160549430979,66.006,0.0,0.0,0.0,0.0,0.0,3,31,Normal
5709913,Plan 7,Estrato 4,1.4972222222222222,2.1900914672498577,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.338461538461538,2.7487992716634357,9.0,0.0,2.0384615384615383,1.8663370817095455,6.0,0.0,MES -14,MES -1,14,2,2.3434782608695652,2.3056105646041716,9.0,0.0,0.0,0.0,0.0,0.0,21,3,Anomalia
5634529,Plan 204,Estrato 4,8.324166666666667,1.552195449769685,11.0,2.0,7.611666666666667,2.9395266058783456,10.0,2.0,8.428571428571429,1.397276262011544,10.0,6.0,8.384615384615385,1.0439078454267838,11.0,7.0,8.615384615384615,1.1208970766356101,11.0,7.0,sin caida,sin caida,0,0,Sin Caida,Sin Caida,Sin Caida,Sin Caida,Sin Caida,Sin Caida,Sin Caida,Sin Caida,0,1,Fraude
5720027,Plan 489,Estrato -1,24.315833333333337,52.15523840968832,174.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.33615384615385,69.25027876459674,174.07,0.0,MES -31,MES -1,31,1,130.50666666666666,31.022822602436133,174.07,92.0,0.0,0.0,0.0,0.0,29,4,Anomalia
4769019,Plan 123,Estrato -1,118.3275,37.14913214714059,212.0,67.0,172.33333333333334,22.11485172156184,212.0,152.0,154.28571428571428,21.06113550052391,186.0,130.0,109.17923076923077,20.781584981876968,142.0,74.0,85.03538461538461,9.24782282070093,98.0,67.0,sin caida,sin caida,0,0,Sin Caida,Sin Caida,Sin Caida,Sin Caida,Sin Caida,Sin Caida,Sin Caida,Sin Caida,0,6,Normal
